rewards,steps,success
-1.0,1,0
-1.0,1,0
1.8435947712418301,1,1
-1.0,1,0
-1.0,1,0
4.556013071895425,1,1
-1.0,1,0
2.473267973856209,2,1
0.8788888888888888,1,1
0.005686274509803921,1,1
-1.0,1,0
1.6880392156862745,1,1
-1.0,1,0
4.040653594771242,3,1
1.6566666666666667,1,1
1.3259477124183006,1,1
-1.0,1,0
-1.0,1,0
1.5847712418300655,1,1
-1.0,1,0
4.656339869281045,3,1
-1.0,1,0
4.67718954248366,2,1
0.9886928104575163,1,1
1.6540522875816994,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.6540522875816994,1,1
-1.0,1,0
-1.0,1,0
1.7808496732026144,1,1
-1.0,1,0
0.005686274509803921,1,1
-1.0,1,0
1.578235294117647,1,1
0.5560130718954248,1,1
1.4880392156862745,1,1
0.4723529411764706,1,1
0.7141830065359477,1,1
0.8893464052287582,1,1
0.8932679738562092,1,1
-1.0,1,0
-1.0,1,0
0.005686274509803921,1,1
-1.0,1,0
1.5860784313725491,1,1
1.1403267973856208,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
1.6252941176470588,1,1
-1.0,1,0
-1.0,1,0
3.8301307189542486,2,1
0.4618954248366013,1,1
1.6213725490196078,1,1
-1.0,1,0
1.1298692810457516,1,1
-1.0,1,0
-1.0,1,0
3.62359477124183,2,1
4.775228758169935,2,1
3.99,1,1
0.6828104575163398,1,1
1.2723529411764707,1,1
0.8828104575163399,1,1
1.4004575163398694,1,1
1.0131372549019606,2,1
1.7024183006535947,1,1
0.8971895424836601,1,1
0.9194117647058824,1,1
-1.0,1,0
1.0279084967320262,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
4.630522875816994,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.9808496732026144,1,1
0.005686274509803921,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.6618954248366014,1,1
1.2880392156862746,1,1
1.3834640522875816,1,1
-1.0,1,0
3.7334640522875815,3,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.8109150326797385,1,1
1.5547058823529412,1,1
-1.0,1,0
1.471045751633987,1,1
0.6043790849673203,1,1
5.001764705882353,1,1
0.8187581699346406,1,1
-1.0,1,0
0.5873856209150327,1,1
1.6579738562091504,1,1
1.1011111111111112,1,1
-1.0,1,0
1.6122222222222222,1,1
1.6998039215686274,1,1
1.49718954248366,1,1
4.920392156862745,3,1
1.0030718954248365,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.905032679738562,1,1
1.7442483660130719,1,1
0.005686274509803921,1,1
1.6026797385620914,2,1
-1.0,1,0
1.3220261437908496,1,1
1.1468627450980393,1,1
0.4697385620915033,1,1
3.4932679738562094,1,1
1.4148366013071896,1,1
1.7481699346405228,1,1
1.112875816993464,1,1
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
-1.0,1,0
0.7076470588235294,1,1
-1.0,1,0
-1.0,1,0
0.9128758169934641,1,1
0.005686274509803921,1,1
1.4331372549019608,1,1
1.0932679738562092,1,1
0.6383660130718954,1,1
1.316797385620915,1,1
-1.0,1,0
-1.0,1,0
